window_id,sub_ID,anchor_date,obs_start,obs_end,target_start,target_end,performance_mean_30d,performance_std_30d,performance_trend_30d,attendance_rate_30d,positive_behavior_count_30d,negative_behavior_count_30d,idea_count_30d,feat_count_30d,teamwork_count_30d,sacrifice_count_30d,lapse_count_30d,slip_count_30d,disruption_count_30d,sabotage_count_30d,n_efficacy_obs,split
98000028_2021-01-30,98000028,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.9200000000000002,0.3254147151591416,0.7515990353360595,0.9523809523809523,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,20,train
98000030_2021-01-30,98000030,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,1.1047619047619048,0.7559604424017109,-0.3790883009244509,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,21,train
98000031_2021-01-30,98000031,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7809523809523808,0.48950898624953526,0.5262671342046541,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,train
98000032_2021-01-30,98000032,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.8350000000000002,0.6217758946420283,0.9244373586444699,0.9523809523809523,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,20,train
98000033_2021-01-30,98000033,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,1.03,0.3961658344949153,0.47986295388129374,0.9523809523809523,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,20,train
98000034_2021-01-30,98000034,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.9999999999999998,0.5244044240850758,0.6667516735734774,1.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,21,train
98000035_2021-01-30,98000035,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.9,0.36992175559590695,0.3035204239650363,0.9523809523809523,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,20,train
98000036_2021-01-30,98000036,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.475,0.5466404572236528,0.4208254653358512,0.9523809523809523,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20,train
98000037_2021-01-30,98000037,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.8400000000000002,0.3803045870711638,0.17402710975076502,0.9523809523809523,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20,train
98000038_2021-01-30,98000038,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.61,0.5260578315216523,-0.027100271002709946,0.9523809523809523,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20,train
98000039_2021-01-30,98000039,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6380952380952382,0.3653439345003424,0.17051322919987227,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,21,train
98000040_2021-01-30,98000040,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.40499999999999997,0.19324105480761042,0.4364125560538115,0.9523809523809523,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,train
98000041_2021-01-30,98000041,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,1.2,0.42895221179054427,0.42374880459037245,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,21,train
98000042_2021-01-30,98000042,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.8666666666666668,0.5994441870043727,-0.9733503347146956,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,train
98000043_2021-01-30,98000043,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.765,0.329712793679271,0.05405862267149032,0.9523809523809523,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20,train
98000044_2021-01-30,98000044,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.5142857142857143,0.1590148241067929,-0.2074274784826271,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,train
98000045_2021-01-30,98000045,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.9761904761904762,0.3192252526113213,-0.07268090532355809,1.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,21,train
98000046_2021-01-30,98000046,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7315789473684211,0.30560074094395956,-0.3619680252195459,0.9047619047619048,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19,train
98000047_2021-01-30,98000047,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6571428571428571,0.5035587637718447,0.2949314631813835,1.0,4.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,21,train
98000049_2021-01-30,98000049,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6904761904761905,0.36456105374101866,0.603538412496015,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,21,train
98000050_2021-01-30,98000050,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7450000000000001,0.6754920234053179,1.42251970129736,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,train
98000053_2021-01-30,98000053,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7809523809523808,0.3370742464488316,0.0523111252789287,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,21,train
98000055_2021-01-30,98000055,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.5421052631578948,0.6635893889996904,0.12047904191616778,0.9047619047619048,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,19,train
98000056_2021-01-30,98000056,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.4526315789473685,0.171167302993402,-0.07669595275817381,0.9047619047619048,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,train
98000058_2021-01-30,98000058,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.48999999999999994,0.35078858530309587,0.009827659877510473,0.9523809523809523,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,20,train
98000059_2021-01-30,98000059,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,1.3857142857142857,0.6980585321344581,0.9002868983104876,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21,train
98000060_2021-01-30,98000060,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.9450000000000001,0.5977809843606251,-0.5568430257979881,0.9523809523809523,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,20,train
98000062_2021-01-30,98000062,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,1.2047619047619047,0.3955707148869725,-0.16018489002231498,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,train
98000064_2021-01-30,98000064,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,1.09,0.5580982746887204,1.196624698633806,0.9523809523809523,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20,train
98000066_2021-01-30,98000066,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.875,0.3654485347883438,-0.2207927032738863,0.9523809523809523,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,train
98000067_2021-01-30,98000067,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.5714285714285714,0.23052734575936354,-0.1474657315906918,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,train
98000068_2021-01-30,98000068,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7999999999999999,0.4565315461516093,-0.3355352836321701,0.9523809523809523,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,train
98000069_2021-01-30,98000069,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7368421052631579,0.2691767827114315,0.14540287272447952,0.9047619047619048,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,19,train
98000070_2021-01-30,98000070,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.5349999999999999,0.23004576203785837,0.20823152895832603,0.9523809523809523,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,20,train
98000071_2021-01-30,98000071,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.585,0.2700389835404861,0.29953986008753847,0.9523809523809523,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,20,train
98000072_2021-01-30,98000072,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6599999999999999,0.363318042491699,0.026922046611304516,0.9523809523809523,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,train
98000073_2021-01-30,98000073,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.38095238095238093,0.27860195192971576,-0.1143767931144407,1.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,21,train
98000074_2021-01-30,98000074,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.9476190476190477,0.7082506954596285,0.6213261077462542,1.0,2.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,21,train
98000075_2021-01-30,98000075,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.5238095238095237,0.3505777544351066,-0.27876952502390845,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,train
98000076_2021-01-30,98000076,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7894736842105263,0.3649881837388792,-0.1820372864535335,0.9047619047619048,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,train
98000078_2021-01-30,98000078,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6000000000000001,0.21213203435596428,-0.07229837424290769,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,train
98000079_2021-01-30,98000079,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.557142857142857,0.47177476466151574,-0.14689193496971648,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,train
98000082_2021-01-30,98000082,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7095238095238094,0.31289736640752014,0.3524067580490914,1.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,21,train
98000084_2021-01-30,98000084,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.615,0.28520537383288885,0.5893280632411069,0.9523809523809523,5.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,20,train
98000087_2021-01-30,98000087,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7157894736842105,0.37603657903444687,0.3801458480357557,0.9047619047619048,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,19,train
98000089_2021-01-30,98000089,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7142857142857143,0.5884604611065337,1.2244819891616192,1.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,21,train
98000090_2021-01-30,98000090,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.8550000000000001,0.3086046696102688,0.2653061224489798,0.9523809523809523,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,20,train
98000091_2021-01-30,98000091,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6263157894736843,0.22813764184310092,0.10630758327427353,0.9047619047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,train
98000092_2021-01-30,98000092,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.5571428571428572,0.22709343577353477,0.2567739878865158,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21,train
98000093_2021-01-30,98000093,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,1.1,0.6104355649430728,-0.40772169444538364,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,train
98000094_2021-01-30,98000094,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.8809523809523809,0.28216847382201937,0.1948995855913291,1.0,5.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,21,train
98000095_2021-01-30,98000095,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6052631578947368,0.55424992779083,-0.06791267219850164,0.9047619047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,train
98000096_2021-01-30,98000096,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.45999999999999996,0.46157624676639003,0.11166147749787683,0.9523809523809523,4.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,20,train
98000097_2021-01-30,98000097,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.5142857142857143,0.5012840654616046,0.06569971310168943,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,train
98000098_2021-01-30,98000098,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.8285714285714285,0.40760625258067024,-0.27427478482626777,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,train
98000099_2021-01-30,98000099,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.5149999999999999,0.14964871146156009,0.05746048754353058,0.9523809523809523,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,20,train
98000100_2021-01-30,98000100,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7947368421052632,0.3222726316689133,0.0528552456839308,0.9047619047619048,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,19,train
98000104_2021-01-30,98000104,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.819047619047619,0.3325944191038804,0.3513547975773029,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21,train
98000106_2021-01-30,98000106,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7142857142857143,0.5943784268340451,-1.0689831048772713,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,21,train
98000109_2021-01-30,98000109,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7571428571428571,0.23360528369758374,0.4114121772394004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,train
98000110_2021-01-30,98000110,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7150000000000001,0.32811262507992905,0.21977763595445238,0.9523809523809523,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,train
98000111_2021-01-30,98000111,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.3047619047619048,0.23974192473614303,0.19126554032515133,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,21,train
98000113_2021-01-30,98000113,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.5809523809523809,0.26947921556039833,0.00210392094357637,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,21,train
98000114_2021-01-30,98000114,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.2761904761904762,0.32543011831230667,-0.7374242907236215,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21,train
98000115_2021-01-30,98000115,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,1.2315789473684209,0.41372646838614857,0.5198483022612894,0.9047619047619048,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19,train
98000116_2021-01-30,98000116,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.9714285714285713,0.25523098781859765,0.059387950270959146,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21,train
98000118_2021-01-30,98000118,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.3315789473684211,0.223737523746384,-0.1653296565555276,0.9047619047619048,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19,train
98000120_2021-01-30,98000120,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.975,0.4037651740671472,0.30614334470989724,0.9523809523809523,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,train
98000122_2021-01-30,98000122,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6333333333333333,0.2938253449471869,0.18409308256295828,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,train
98000123_2021-01-30,98000123,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.5421052631578948,0.1865350413124218,0.03792739074647202,0.9047619047619048,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,train
98000124_2021-01-30,98000124,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,1.4947368421052634,0.6059645059375511,0.4316971236581178,0.9047619047619048,6.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,19,train
98000125_2021-01-30,98000125,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.4473684210526316,0.5531409515491523,0.015902610221539507,0.9047619047619048,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,19,train
98000127_2021-01-30,98000127,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7047619047619047,0.35982800123974573,-0.15616831367548634,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21,train
98000128_2021-01-30,98000128,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7842105263157896,0.36249621897604645,0.2948054049680398,0.9047619047619048,2.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,19,train
98000130_2021-01-30,98000130,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7809523809523811,0.6038369379385858,0.22301562001912606,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,21,train
98000131_2021-01-30,98000131,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.885,0.5584518072785079,1.118744394618834,0.9523809523809523,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,20,train
98000133_2021-01-30,98000133,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7333333333333334,0.19832633040858025,0.2122091169907555,1.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,21,train
98000134_2021-01-30,98000134,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6857142857142857,0.4497618417403974,0.01061523748804555,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,train
98000135_2021-01-30,98000135,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.5761904761904763,0.19976176286957897,0.1221230474976093,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,train
98000136_2021-01-30,98000136,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.8904761904761904,0.6378908699023383,0.53726490277335,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21,train
98000137_2021-01-30,98000137,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7761904761904761,0.3238900460106205,-0.1590372967803636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,train
98000138_2021-01-30,98000138,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.765,0.2777257261172764,0.0008815750808107149,0.9523809523809523,3.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,20,train
98000139_2021-01-30,98000139,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.45714285714285713,0.3091462899202069,0.34513866751673555,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21,train
98000140_2021-01-30,98000140,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.4761904761904763,0.23217399058628835,0.05986611412177205,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,21,train
